Рабочее наименование;Наименование для печати;Код;Артикул;Количество товара;Цена;Мера;Категория товара;Объём продаж;Себестоимость
"Лапша узкая ""Рахимов"" 1,0кг*11";"Лапша узкая ""Рахимов"" 1,0кг*11";ЛУ011;221;1285;36,9;пач;Лапша домашняя;346;30,75
"Лапша широкая ""Рахимов"" 1,0кг*10";"Лапша широкая ""Рахимов"" 1,0кг*10";ЛУ111;221;985;36,9;пач;Лапша домашняя;362;30,75
"Масло подс.""Золотая семечка"" 1,8л*6";"Масло подс.""Золотая семечка"" 1,8л*7";МП186;276;200;148;бут;Масло растительное;1250;128,6956522
"Масло подс.""Золотая семечка"" 1л*15";"Масло подс.""Золотая семечка"" 1л*16";МП115;277;1206;73,8;бут;Масло растительное;1016;61,5
"Масло подс.""Золотая семечка"" 3л*6";"Масло подс.""Золотая семечка"" 3л*7";МП360;278;1404;244;бут;Масло растительное;417;212,173913
"Масло подс.""Золотая семечка"" 5л*4";"Масло подс.""Золотая семечка"" 5л*5";МП540;279;541;404;бут;Масло растительное;1177;351,3043478
"Шпроты""5 морей"" в масле 160гр*36";"Шпроты""5 морей"" в масле 160гр*36";ШМ136;436;878;59,2;шт;Консервы;313;49,33333333
"Шпроты""5 морей"" в масле 160гр*72";"Шпроты""5 морей"" в масле 160гр*72";ШМ172;437;1075;59,2;шт;Консервы;467;49,33333333
"Шпроты""5 морей"" в масле 240гр*24";"Шпроты""5 морей"" в масле 240гр*24";ШМ224;438;1062;80;шт;Консервы;721;66,66666667
"Шпроты""5 морей"" в масле 240гр*48";"Шпроты""5 морей"" в масле 240гр*48";ШМ248;439;553;80;шт;Консервы;747;66,66666667
"Молоко сгущеное ""Алексеевское"" ГОСТ 380гр*45";"Молоко сгущеное ""Алексеевское"" ГОСТ 380гр*46";МСА45;509;522;59,5;шт;Молоко сгущёное;901;49,58333333
"Молоко сгущеное ""Верховье"" 380гр*20";"Молоко сгущеное ""Верховье"" 380гр*21";МУВ20;510;558;42;шт;Молоко сгущёное;616;35
"Молоко сгущеное ""Рогачев"" 380гр*30";"Молоко сгущеное ""Рогачев"" 380гр*31";МУР30;511;1271;61,7;шт;Молоко сгущёное;954;51,41666667
Кукуруза Vitaland 340гр*12;Кукуруза Vitaland 340гр*12;КВ112;805;808;37,4;шт;Кукуруза;513;31,16666667
Кукуруза Vitaland 340гр*24;Кукуруза Vitaland 340гр*24;КВ224;806;961;38,4;шт;Кукуруза;611;32
"Томатная паста ""Моравка"" 1кг*3";"Томатная паста ""Моравка"" 1кг*4";ТП013;656;837;78,6;шт;Томатная паста;457;65,5
"Томатная паста ""Моравка"" 270гр*7";"Томатная паста ""Моравка"" 270гр*8";Тп277;655;536;31,4;шт;Томатная паста;684;26,16666667
"Хлопья из 5-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 5-ти злаков ""Царь"" 0,4кг*20";ХЗЦ520;720;903;25,8;шт;Хлопья;1296;21,5
"Хлопья из 6-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 6-ти злаков ""Царь"" 0,4кг*20";ХЗЦ620;721;576;29,7;шт;Хлопья;388;24,75
"Хлопья из 7-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 7-ти злаков ""Царь"" 0,4кг*20";ХЗЦ720;722;989;29,7;шт;Хлопья;719;24,75
"Хлопья овсяные ""Геркулес"" 0,4кг*13";"Хлопья овсяные ""Геркулес"" 0,4кг*14";ХОГ14;749;1071;44,3;шт;Хлопья;453;36,91666667
Хлопья овсяные тонкие 0,4кг*13;Хлопья овсяные тонкие 0,4кг*14;ХОВ414;742;1467;36,5;шт;Хлопья;1249;30,41666667
Хлопья овсяные традиционные 0,4кг*13;Хлопья овсяные традиционные 0,4кг*14;ХОТ14;741;1100;32,7;шт;Хлопья;595;27,25
Горох дроб в пак.для варки 5*80гр*14;Горох дроб в пак.для варки 5*80гр*15;ГД58014;947;531;48,8;шт;Крупы;519;40,66666667
Перловая в пакет.для варки 5*80гр*14;Перловая в пакет.для варки 5*80гр*15;ПА58014;940;889;35,2;шт;Крупы;261;29,33333333
Рис длиннозер. в пак.для варки 5*80гр*14;Рис длиннозер. в пак.для варки 5*80гр*15;РДЛИ58014;942;1100;50,8;шт;Крупы;1067;42,33333333
Рис пропаренный в пак.для варки 5*80гр*14;Рис пропаренный в пак.для варки 5*80гр*15;РПРО58014;946;663;50,5;шт;Крупы;587;42,08333333
Рис круглозёрный в пак.для варки 5*80гр*14;Рис круглозёрный в пак.для варки 5*80гр*15;РКРУ58014;945;796;48,8;шт;Крупы;756;40,66666667
"Смесь ""Дружба"" в пак.для варки 5*80гр*14";"Смесь ""Дружба"" в пак.для варки 5*80гр*15";С58014;141;1355;51,5;шт;Крупы;415;42,91666667
Чечевица в пак.для варки 5*80гр*14;Чечевица в пак.для варки 5*80гр*15;ЧЦ58014;146;1459;70,6;шт;Крупы;1229;58,83333333
Йогурт;Йогурт;ЙО1;111;211;60;шт;Йогурт;100;50
