Рабочее наименование;Наименование для печати;Код;Артикул;Количество товара;Цена;Мера;Категория товара;Объём продаж
Лапша узкая ""Рахимов"" 1,0кг*11;Лапша узкая ""Рахимов"" 1,0кг*11;ЛУ011;221;1285;70;пач;Лапша домашняя;950
"Лапша широкая ""Рахимов"" 1,0кг*10";"Лапша широкая ""Рахимов"" 1,0кг*10";ЛУ111;221;985;120;пач;Лапша домашняя;1650
"Масло подс.""Золотая семечка"" 1,8л*6";"Масло подс.""Золотая семечка"" 1,8л*7";МП186;276;200;148;бут;Масло растительное;935
"Масло подс.""Золотая семечка"" 3л*6";"Масло подс.""Золотая семечка"" 3л*6";МП360;278;1404;244;бут;Масло растительное;1535
"Шпроты""5 морей"" в масле 160гр*36";"Шпроты""5 морей"" в масле 160гр*36";ШМ136;436;878;59,2;шт;Консервы;1335
"Шпроты ""5 морей"" в масле 160гр*72";"Шпроты ""5 морей"" в масле 160гр*72";ШМ172;437;1075;59,2;шт;Консервы;788
"Молоко сгущеное ""Верховье "" 380гр*20""";"Молоко сгущеное ""Верховье "" 380гр*20""";МУВ20;510;558;199;шт;Молоко сгущёное;1188
"Молоко сгущеное ""Рогачев "" 380гр*30""";"Молоко сгущеное ""Рогачев "" 380гр*30""";МУР30;511;1271;210;шт;Молоко сгущёное;1292
Кукуруза Vitaland 340гр*12;Кукуруза Vitaland 340гр*12;КВ112;805;808;37,4;шт;Кукуруза;1475
Кукуруза Vitaland 340гр*24;Кукуруза Vitaland 340гр*24;КВ224;806;961;38,4;шт;Кукуруза;658
"Томатная паста ""Моравка "" 1кг*3""";"Томатная паста ""Моравка "" 1кг*3""";ТП013;656;837;78,6;шт;Томатная паста;458
"Томатная паста ""Моравка "" 270гр*7""";"Томатная паста ""Моравка "" 270гр*7""";Тп277;655;536;31,4;шт;Томатная паста;1385
"Хлопья из 6-ти злаков ""Царь "" 0,4кг*19""";"Хлопья из 6-ти злаков ""Царь "" 0,4кг*19""";ХЗЦ620;721;576;29,7;шт;Хлопья;1157
Хлопья из 7-ти злаков "Царь" 0,4кг*20;Хлопья из 7-ти злаков "Царь" 0,4кг*20;ХЗЦ720;722;989;297;шт;Хлопья;1475
"Хлопья овсяные ""Геркулес"" 0,4кг";"Хлопья овсяные ""Геркулес"" 0,4кг";ХОГ14;749;1071;420;шт;Хлопья;1075
Рис пропаренный в пак.для варки 5*80гр*14;Рис пропаренный в пак.для варки 5*80гр*15;РПРО58014;946;663;50,5;шт;Крупы;1184
Рис круглозёрный в пак.для варки 5*80гр*15;Рис круглозёрный в пак.для варки 5*80гр*15;РКРУ58014;945;796;48,8;шт;Крупы;1061
"Смесь ""Дружба"" в пак.для варки 5*80гр";"Смесь ""Дружба"" в пак.для варки 5*80гр";С58014;141;1355;515;шт;Крупы;1392
Мороженое 48 копеек;Мороженое 48 копеек;М48;948;140;240;шт;Мороженое;460
Мороженое Эскимо 200 г.;Мороженое Эскимо 200 г.;МЭ2;200;450;142;шт;Мороженое;210
Мороженое Пломбир 250 г.;Мороженое Пломбир 250 г.;МП2;1250;320;300;шт;Мороженое;180
Мороженое Эскимо 250 г.;Мороженое Эскимо 250 г.;МЭ25;450;320;300;шт;Мороженое;220
